date,skill_abr,skill_count
"2018-01-01 00:00:00","python","16151"
"2018-01-01 00:00:00","java","12284"
"2018-01-01 00:00:00","node.js","4450"
"2018-01-01 00:00:00","sql","4225"
"2018-01-01 00:00:00","reactjs","3282"
"2018-01-01 00:00:00","spring-boot","1317"
"2018-01-01 00:00:00","docker","1200"
"2018-01-01 00:00:00","machine-learning","552"
"2018-01-01 00:00:00","kubernetes","425"
"2018-01-01 00:00:00","deep-learning","338"
"2018-01-01 00:00:00","flutter","88"
"2018-01-01 00:00:00","solidity","69"
"2018-02-01 00:00:00","python","16223"
"2018-02-01 00:00:00","java","11968"
"2018-02-01 00:00:00","sql","4100"
"2018-02-01 00:00:00","node.js","4024"
"2018-02-01 00:00:00","reactjs","3247"
"2018-02-01 00:00:00","spring-boot","1280"
"2018-02-01 00:00:00","docker","1178"
"2018-02-01 00:00:00","machine-learning","595"
"2018-02-01 00:00:00","kubernetes","376"
"2018-02-01 00:00:00","deep-learning","302"
"2018-02-01 00:00:00","flutter","103"
"2018-02-01 00:00:00","solidity","62"
"2018-03-01 00:00:00","python","17808"
"2018-03-01 00:00:00","java","13461"
"2018-03-01 00:00:00","sql","4739"
"2018-03-01 00:00:00","node.js","4352"
"2018-03-01 00:00:00","reactjs","3788"
"2018-03-01 00:00:00","spring-boot","1637"
"2018-03-01 00:00:00","docker","1376"
"2018-03-01 00:00:00","machine-learning","714"
"2018-03-01 00:00:00","kubernetes","485"
"2018-03-01 00:00:00","flutter","455"
"2018-03-01 00:00:00","deep-learning","343"
"2018-03-01 00:00:00","solidity","67"
"2018-04-01 00:00:00","python","16872"
"2018-04-01 00:00:00","java","13400"
"2018-04-01 00:00:00","sql","4729"
"2018-04-01 00:00:00","node.js","3995"
"2018-04-01 00:00:00","reactjs","3656"
"2018-04-01 00:00:00","spring-boot","1604"
"2018-04-01 00:00:00","docker","1323"
"2018-04-01 00:00:00","machine-learning","770"
"2018-04-01 00:00:00","kubernetes","499"
"2018-04-01 00:00:00","flutter","494"
"2018-04-01 00:00:00","deep-learning","351"
"2018-04-01 00:00:00","solidity","58"
"2018-05-01 00:00:00","python","17478"
"2018-05-01 00:00:00","java","13381"
"2018-05-01 00:00:00","sql","4783"
"2018-05-01 00:00:00","node.js","4206"
"2018-05-01 00:00:00","reactjs","3894"
"2018-05-01 00:00:00","spring-boot","1661"
"2018-05-01 00:00:00","docker","1389"
"2018-05-01 00:00:00","machine-learning","665"
"2018-05-01 00:00:00","flutter","626"
"2018-05-01 00:00:00","kubernetes","498"
"2018-05-01 00:00:00","deep-learning","341"
"2018-05-01 00:00:00","solidity","77"
"2018-06-01 00:00:00","python","16724"
"2018-06-01 00:00:00","java","11730"
"2018-06-01 00:00:00","sql","4441"
"2018-06-01 00:00:00","node.js","4036"
"2018-06-01 00:00:00","reactjs","3831"
"2018-06-01 00:00:00","spring-boot","1510"
"2018-06-01 00:00:00","docker","1387"
"2018-06-01 00:00:00","flutter","633"
"2018-06-01 00:00:00","machine-learning","540"
"2018-06-01 00:00:00","kubernetes","531"
"2018-06-01 00:00:00","deep-learning","291"
"2018-06-01 00:00:00","solidity","59"
